Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P26583;D6R9A6	P26583;D6R9A6	6;4	6;4	6;4	High mobility group protein B2	HMGB2	>sp|P26583|HMGB2_HUMAN High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2;>tr|D6R9A6|D6R9A6_HUMAN High mobility group protein B2 (Fragment) OS=Homo sapiens GN=HMGB2 PE=2 SV=1	2	6	6	6	19.6	19.6	19.6	24.033	209	209;134	3.4901E-21	0.87544	0.63499	17.429	8	256650000	140630000	116010000				1505	4670;5149;5756;5823;6376;9360	True;True;True;True;True;True	4679;5158;5766;5833;6386;9375	5602;6188;6940;6941;7028;7669;11184;11185	10198;11274;11275;12636;12637;12638;12795;12796;12797;13906;13907;20215;20216;20217;20218	10198;11274;12638;12797;13906;20215		
P26599;P26599-2;P26599-3;A6NLN1;K7ES59;K7ELW5;K7EKJ7;K7EK45;O95758-1;O95758-6;O95758-2;O95758;O95758-5;O95758-4	P26599;P26599-2;P26599-3;A6NLN1	12;12;12;6;5;5;5;3;1;1;1;1;1;1	12;12;12;6;5;5;5;3;1;1;1;1;1;1	12;12;12;6;5;5;5;3;1;1;1;1;1;1	Polypyrimidine tract-binding protein 1	PTBP1	>sp|P26599|PTBP1_HUMAN Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1;>sp|P26599-2|PTBP1_HUMAN Isoform 2 of Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1;>sp|P26599-3|PTBP1_HUMAN Isoform 3 of Polypyrimidine trac	14	12	12	12	49.3	49.3	49.3	57.221	531	531;550;557;197;209;233;236;256;521;524;547;552;555;558	2.1155E-75	1.3573	1.0045	25.233	15	524910000	224950000	299960000				1506	874;2693;4806;5829;7508;7537;8099;8322;8373;11370;11780;11782	True;True;True;True;True;True;True;True;True;True;True;True	878;2700;4815;5839;7520;7550;8112;8335;8386;11390;11799;11801	1036;1037;3200;3201;5766;5767;5768;7036;9038;9071;9728;9729;9730;9731;9987;10042;13628;14102;14104	1874;1875;1876;1877;1878;5736;5737;5738;5739;5740;5741;5742;5743;10503;10504;10505;10506;10507;10508;10509;12807;12808;16278;16343;17539;17540;17541;17542;17543;17544;17545;17546;17547;17994;17995;17996;18106;18107;18108;24845;25731;25732;25734	1874;5739;10505;12807;16278;16343;17539;17995;18107;24845;25732;25734		
P26639;P26639-2;E7ERI3;G3XAN9;D6RCA5;D6R9F8;D6RDJ6	P26639;P26639-2;E7ERI3;G3XAN9	11;11;10;10;1;1;1	11;11;10;10;1;1;1	10;10;9;9;1;1;1	Threonine--tRNA ligase, cytoplasmic	TARS	>sp|P26639|SYTC_HUMAN Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3;>sp|P26639-2|SYTC_HUMAN Isoform 2 of Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS;>tr|E7ERI3|E7ERI3_HUMAN Threonine--tRNA ligase, cytoplasmic OS=Homo	7	11	11	10	17.6	17.6	16.5	83.434	723	723;756;602;619;118;129;131	1.1377E-53	1.5759	1.2214	12.176	10	302140000	113360000	188780000				1507	269;2882;3316;3678;3844;5629;8062;8860;11559;11959;12037	True;True;True;True;True;True;True;True;True;True;True	269;2889;3323;3685;3852;5639;8075;8874;11579;11978;12056	309;3428;3925;4346;4541;6779;9683;10607;10608;13847;14314;14442	575;576;6141;7065;7855;7856;7857;8208;8209;8210;8211;12376;12377;17463;17464;19178;19179;25253;26104;26105;26359;26360;26361	576;6141;7065;7855;8209;12377;17463;19179;25253;26105;26361		
P26641;B4DTG2;E7EMT2	P26641;B4DTG2;E7EMT2	15;14;9	15;14;9	15;14;9	Elongation factor 1-gamma	EEF1G	>sp|P26641|EF1G_HUMAN Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3;>tr|B4DTG2|B4DTG2_HUMAN Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=2 SV=1;>tr|E7EMT2|E7EMT2_HUMAN Uncharacterized protein OS=Homo sapiens PE=4 SV=2	3	15	15	15	45.1	45.1	45.1	50.118	437	437;487;206	1.5184E-69	2.3342	1.6043	12.488	19	1845200000	551770000	1293400000				1508	56;623;1497;1815;3017;4224;4315;5201;5794;6127;9967;9968;10281;11438;12454	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	56;624;1502;1821;3024;4233;4324;5210;5804;6137;9984;9985;10299;11458;12474	63;726;1782;2174;3580;3581;5047;5155;5156;6250;6991;6992;7388;11881;11882;11883;12254;13704;14933	116;117;1307;1308;1309;1310;1311;3216;3217;3902;3903;6414;6415;6416;6417;9160;9161;9162;9163;9370;9371;9372;9373;9374;11395;11396;12731;12732;12733;12734;12735;12736;12737;13423;21465;21466;21467;21468;21469;21470;21471;22187;22188;24976;27264;27265;27266	116;1308;3216;3902;6417;9162;9370;11396;12735;13423;21468;21471;22188;24976;27266		
P26885;F5H0N4	P26885	3;1	3;1	3;1	Peptidyl-prolyl cis-trans isomerase FKBP2	FKBP2	>sp|P26885|FKBP2_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Homo sapiens GN=FKBP2 PE=1 SV=2	2	3	3	3	16.9	16.9	16.9	15.649	142	142;102	1.1693E-07	4.1874	3.2435	19.881	2	271760000	51688000	220070000				1509	3718;5842;7353	True;True;True	3725;5852;7365	4391;4392;7053;8848	7933;7934;12830;15945;15946	7934;12830;15945		
P27348;E9PG15	P27348	7;3	5;2	5;2	14-3-3 protein theta	YWHAQ	>sp|P27348|1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	2	7	5	5	33.5	26.1	26.1	27.764	245	245;149	3.4278E-151	0.96048	0.77762	14.197	7	209670000	107950000	101720000				1510	1188;1931;8248;9010;9011;10129;12323	True;False;False;True;True;True;True	1193;1937;8261;9024;9025;10147;12343	1401;2311;9904;10780;10781;12073;12074;12075;14777	2529;2530;2531;4161;4162;17840;17841;19482;19483;19484;19485;19486;21819;21820;21821;21822;26963;26964;26965	2530;4162;17840;19482;19485;21820;26965		
P27694;I3L2M5;I3L524	P27694;I3L2M5	3;2;1	3;2;1	3;2;1	Replication protein A 70 kDa DNA-binding subunit	RPA1	>sp|P27694|RFA1_HUMAN Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2;>tr|I3L2M5|I3L2M5_HUMAN Replication protein A 70 kDa DNA-binding subunit (Fragment) OS=Homo sapiens GN=RPA1 PE=2 SV=1	3	3	3	3	8.8	8.8	8.8	68.137	616	616;153;124	8.7666E-06	0.77184	0.62937	27.456	2	35857000	22965000	12892000				1511	3712;8640;11858	True;True;True	3719;8654;11877	4384;10348;14197	7920;18708;25891	7920;18708;25891		
P27797;K7EJB9;K7EL50	P27797;K7EJB9	13;10;3	13;10;3	13;10;3	Calreticulin	CALR	>sp|P27797|CALR_HUMAN Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1;>tr|K7EJB9|K7EJB9_HUMAN Calreticulin (Fragment) OS=Homo sapiens GN=CALR PE=3 SV=1	3	13	13	13	45.1	45.1	45.1	48.141	417	417;247;163	1.883E-106	3.5529	2.6181	22.868	12	4465400000	597550000	3867800000				1512	1331;1805;2753;3591;3601;4847;4872;4873;5142;5857;5924;9492;11244	True;True;True;True;True;True;True;True;True;True;True;True;True	1336;1811;2760;3598;3608;4856;4881;4882;5151;5867;5934;9509;11264	1567;2163;2164;3271;4246;4257;4258;5810;5811;5838;5839;5840;5841;5842;5843;5844;5845;5846;6178;6179;7070;7156;11332;13475	2830;3886;3887;5868;5869;5870;7656;7657;7658;7674;7675;7676;7677;10581;10582;10583;10584;10585;10586;10587;10628;10629;10630;10631;10632;10633;10634;10635;10636;10637;10638;10639;10640;10641;10642;10643;10644;10645;10646;10647;10648;10649;10650;10651;11258;11259;12864;12865;12866;13006;20476;20477;20478;20479;20480;20481;20482;20483;24564;24565	2830;3886;5869;7657;7677;10584;10639;10650;11259;12864;13006;20481;24565		
P28062-2;P28062;Q5JNW7;B0UZC1	P28062-2;P28062;Q5JNW7;B0UZC1	6;6;5;5	6;6;5;5	6;6;5;5	Proteasome subunit beta type-8	PSMB8	>sp|P28062-2|PSB8_HUMAN Isoform 2 of Proteasome subunit beta type-8 OS=Homo sapiens GN=PSMB8;>sp|P28062|PSB8_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens GN=PSMB8 PE=1 SV=3;>tr|Q5JNW7|Q5JNW7_HUMAN Proteasome subunit beta type-8 OS=Homo sapiens GN=P	4	6	6	6	23.9	23.9	23.9	29.769	272	272;276;252;252	1.1178E-23	1.4316	1.199	22.819	7	161940000	71072000	90868000				1513	950;1940;3442;4182;5740;11085	True;True;True;True;True;True	954;1946;3449;4191;5750;11105	1130;2345;4071;4072;5001;6918;13285	2056;4222;4223;4224;7327;7328;9067;12599;24187	2056;4224;7327;9067;12599;24187		
P28066;P28066-2	P28066;P28066-2	7;4	7;4	7;4	Proteasome subunit alpha type-5	PSMA5	>sp|P28066|PSA5_HUMAN Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3;>sp|P28066-2|PSA5_HUMAN Isoform 2 of Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5	2	7	7	7	41.5	41.5	41.5	26.411	241	241;183	1.162E-64	1.136	0.93271	11.562	7	312740000	124690000	188040000				1514	499;2282;4421;5540;6315;6858;8593	True;True;True;True;True;True;True	500;2288;4430;5550;6325;6868;8607	580;581;2733;5279;6671;7595;8285;10296;10297	1070;1071;1072;1073;1074;4884;9613;9614;12176;12177;13778;13779;15002;15003;18608;18609;18610	1074;4884;9614;12176;13779;15002;18608		
P28070	P28070	3	3	3	Proteasome subunit beta type-4	PSMB4	>sp|P28070|PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4	1	3	3	3	22.3	22.3	22.3	29.204	264	264	7.4645E-24	1.108	0.78484	1.3572	2	66328000	30757000	35571000				1515	4388;10650;11548	True;True;True	4397;10669;11568	5239;12742;13831	9542;23091;23092;25217;25218;25219;25220	9542;23092;25217		
P28072	P28072	1	1	1	Proteasome subunit beta type-6	PSMB6	>sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4	1	1	1	1	4.6	4.6	4.6	25.357	239	239	0.0038675	NaN	NaN	NaN	1	16927000	10402000	6524900				1516	5958	True	5968	7199	13071;13072	13071		
P28074;H0YJM8;P28074-3;P28074-2	P28074;H0YJM8;P28074-3;P28074-2	2;1;1;1	2;1;1;1	2;1;1;1	Proteasome subunit beta type-5	PSMB5	>sp|P28074|PSB5_HUMAN Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3;>tr|H0YJM8|H0YJM8_HUMAN Proteasome subunit beta type-5 (Fragment) OS=Homo sapiens GN=PSMB5 PE=3 SV=1;>sp|P28074-3|PSB5_HUMAN Isoform 3 of Proteasome subunit beta type-5	4	2	2	2	8.4	8.4	8.4	28.48	263	263;118;160;203	3.7896E-05	0.76192	0.70673	7.4587	2	3556500	2168900	1387700				1517	4574;11717	True;True	4583;11737	5476;14030	9963;25591	9963;25591		
P28331;P28331-2;B4DJ81;P28331-3;P28331-4;P28331-5;F8WDL5;C9JPQ5	P28331;P28331-2;B4DJ81;P28331-3;P28331-4;P28331-5	13;13;12;12;12;12;1;1	13;13;12;12;12;12;1;1	13;13;12;12;12;12;1;1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	NDUFS1	>sp|P28331|NDUS1_HUMAN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3;>sp|P28331-2|NDUS1_HUMAN Isoform 2 of NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1;>tr|B4DJ81|	8	13	13	13	23.1	23.1	23.1	79.467	727	727;741;611;616;670;691;91;130	3.8019E-93	2.4219	2.0692	14.522	9	249240000	74686000	174550000				1518	685;1441;3081;4135;5236;7243;7367;7684;7927;8029;8414;10975;11203	True;True;True;True;True;True;True;True;True;True;True;True;True	687;1446;3088;4143;5245;7255;7379;7697;7940;8042;8427;10995;11223	801;1712;3653;4948;6291;8725;8865;8866;9230;9515;9647;10085;13149;13426	1440;1441;3085;3086;6564;6565;8974;8975;11482;11483;15747;15975;15976;15977;15978;15979;15980;15981;16632;17157;17401;18188;23909;24484	1441;3086;6564;8975;11482;15747;15976;16632;17157;17401;18188;23909;24484		
P28838-2;P28838;H0Y9Q1;H0Y983	P28838-2;P28838;H0Y9Q1	12;12;6;1	12;12;6;1	12;12;6;1	Cytosol aminopeptidase	LAP3	>sp|P28838-2|AMPL_HUMAN Isoform 2 of Cytosol aminopeptidase OS=Homo sapiens GN=LAP3;>sp|P28838|AMPL_HUMAN Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3;>tr|H0Y9Q1|H0Y9Q1_HUMAN Cytosol aminopeptidase (Fragment) OS=Homo sapiens GN=LAP3 PE=2 SV=1	4	12	12	12	32.2	32.2	32.2	52.771	488	488;519;209;119	4.8563E-69	0.62019	0.49348	7.2448	9	296150000	181400000	114750000				1519	53;952;2884;3992;4268;4307;7838;8887;10076;10304;10412;10482	True;True;True;True;True;True;True;True;True;True;True;True	53;956;2891;4000;4277;4316;7852;8901;10094;10322;10431;10501	60;1132;3430;4780;5103;5146;9407;10639;12008;12009;12279;12458;12538;12539	111;2059;2060;6144;8685;8686;9260;9349;9350;9351;16960;16961;19241;19242;21695;21696;21697;21698;22231;22232;22233;22567;22568;22695;22696	111;2060;6144;8685;9260;9351;16961;19241;21697;22232;22567;22695		
P29144;Q5VZU9	P29144;Q5VZU9	7;7	7;7	7;7	Tripeptidyl-peptidase 2	TPP2	>sp|P29144|TPP2_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=1 SV=4;>tr|Q5VZU9|Q5VZU9_HUMAN Tripeptidyl-peptidase 2 OS=Homo sapiens GN=TPP2 PE=2 SV=1	2	7	7	7	9.8	9.8	9.8	138.35	1249	1249;1262	6.7341E-30	0.85515	0.73213	12.994	4	49908000	25539000	24369000				1520	783;1037;1226;1651;1847;5877;6140	True;True;True;True;True;True;True	787;1041;1231;1656;1853;5887;6150	928;1226;1442;1960;2209;2210;7091;7402	1656;2223;2224;2225;2226;2595;2596;3533;3962;3963;12902;12903;12904;13447	1656;2225;2595;3533;3963;12904;13447		
P29218;P29218-3;E5RIP7;H0YBL1;E5RG13;E5RG94;E5RHE9;E5RI82;P29218-2;E5RGY4	P29218;P29218-3;E5RIP7;H0YBL1;E5RG13	4;4;3;3;2;1;1;1;1;1	4;4;3;3;2;1;1;1;1;1	4;4;3;3;2;1;1;1;1;1	Inositol monophosphatase 1	IMPA1	>sp|P29218|IMPA1_HUMAN Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1 PE=1 SV=1;>sp|P29218-3|IMPA1_HUMAN Isoform 3 of Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1;>tr|E5RIP7|E5RIP7_HUMAN Inositol monophosphatase 1 (Fragment) OS=Homo sapiens GN=	10	4	4	4	19.5	19.5	19.5	30.188	277	277;336;181;265;153;101;126;174;198;211	5.5723E-11	1.3607	1.1137	11.046	4	97363000	44736000	52627000				1521	2472;7112;9564;9680	True;True;True;True	2479;7124;9581;9697	2955;8577;11409;11549	5297;15491;20611;20612;20613;20847	5297;15491;20613;20847		
P29350;P29350-3;P29350-4;P29350-2;F5H0N8;F5GY79;F5GZM7;F5H5H9;F5H1Z8;F5H1V7;F5H4Z1;F5GXD4	P29350;P29350-3;P29350-4;P29350-2	16;16;16;15;6;5;3;3;3;1;1;1	16;16;16;15;6;5;3;3;3;1;1;1	16;16;16;15;6;5;3;3;3;1;1;1	Tyrosine-protein phosphatase non-receptor type 6	PTPN6	>sp|P29350|PTN6_HUMAN Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6 PE=1 SV=1;>sp|P29350-3|PTN6_HUMAN Isoform 2 of Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6;>sp|P29350-4|PTN6_HUMAN Isoform 4 of Ty	12	16	16	16	37.1	37.1	37.1	67.56	595	595;597;624;556;165;144;109;130;151;56;58;60	1.7071E-166	3.5047	2.5416	28.721	15	802590000	213270000	589320000				1522	393;1701;1920;2828;3088;3772;4227;5402;8392;9482;10345;10507;11508;12082;12490;12491	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	394;1706;1926;2835;3095;3779;4236;5412;8405;9499;10363;10526;11528;12102;12510;12511	462;2020;2299;3368;3369;3660;3661;4450;5050;5051;5052;6503;10061;11320;12327;12569;13782;14493;14494;14981;14982	859;860;861;3627;4131;4132;4133;6036;6037;6038;6575;6576;6577;8027;9169;9170;9171;9172;9173;11866;11867;11868;18143;18144;20458;22321;22763;25130;25131;26455;26456;26457;27346;27347;27348;27349	859;3627;4131;6038;6576;8027;9170;11867;18144;20458;22321;22763;25130;26456;27347;27349		
P29466-2;P29466;H0YEC7;B4DVD8;P29466-3;G3V169;P29466-4;Q5FBZ0	P29466-2;P29466;H0YEC7;B4DVD8;P29466-3;G3V169;P29466-4	4;4;3;3;3;3;2;1	4;4;3;3;3;3;2;1	4;4;3;3;3;3;2;1	Caspase-1;Caspase-1 subunit p20;Caspase-1 subunit p10;Caspase	CASP1	>sp|P29466-2|CASP1_HUMAN Isoform Beta of Caspase-1 OS=Homo sapiens GN=CASP1;>sp|P29466|CASP1_HUMAN Caspase-1 OS=Homo sapiens GN=CASP1 PE=1 SV=1;>tr|H0YEC7|H0YEC7_HUMAN Caspase-1 subunit p20 (Fragment) OS=Homo sapiens GN=CASP1 PE=2 SV=1;>tr|B4DVD8|B4DVD8_HU	8	4	4	4	18.3	18.3	18.3	42.888	383	383;404;236;301;311;367;263;110	1.7076E-67	2.8959	2.4945	27.882	4	41899000	12277000	29622000				1523	3710;4709;8282;9720	True;True;True;True	3717;4718;8295;9737	4382;5650;9941;11596	7917;10276;17913;20928;20929;20930	7917;10276;17913;20929		
P29590-4;P29590-2;P29590-5;P29590-9;P29590-3;P29590-8;P29590;H3BVD2;P29590-14;P29590-10;H3BT57;P29590-12;P29590-13;P29590-11;H3BT29;H3BUJ5	P29590-4;P29590-2;P29590-5;P29590-9;P29590-3;P29590-8;P29590;H3BVD2;P29590-14;P29590-10;H3BT57;P29590-12;P29590-13;P29590-11	3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1	3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1	3;3;3;3;3;3;3;2;2;2;2;2;2;2;1;1	Protein PML	PML	>sp|P29590-4|PML_HUMAN Isoform PML-6 of Protein PML OS=Homo sapiens GN=PML;>sp|P29590-2|PML_HUMAN Isoform PML-5 of Protein PML OS=Homo sapiens GN=PML;>sp|P29590-5|PML_HUMAN Isoform PML-4 of Protein PML OS=Homo sapiens GN=PML;>sp|P29590-9|PML_HUMAN Isoform 	16	3	3	3	7.5	7.5	7.5	62.006	560	560;611;633;641;824;829;882;217;423;435;568;585;781;834;240;261	9.1668E-18	2.3725	1.9208	98.638	3	58294000	28930000	29364000				1524	797;4206;7128	True;True;True	801;4215;7140	945;5027;8597	1681;9120;9121;9122;15523;15524	1681;9120;15523		
P29966	P29966	4	4	4	Myristoylated alanine-rich C-kinase substrate	MARCKS	>sp|P29966|MARCS_HUMAN Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4	1	4	4	4	20.8	20.8	20.8	31.554	332	332	2.7597E-36	3.9474	3.1177	12.419	4	46003000	10206000	35797000				1525	237;2120;3727;3769	True;True;True;True	237;2126;3734;3776	271;2551;4401;4446	507;508;509;510;4579;4580;4581;7947;7948;7949;7950;8018;8019;8020	507;4579;7947;8020		
P30040;F8VY02;F8W1G0;P30040-2	P30040;F8VY02	10;6;2;1	10;6;2;1	10;6;2;1	Endoplasmic reticulum resident protein 29	ERP29	>sp|P30040|ERP29_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4;>tr|F8VY02|F8VY02_HUMAN Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=2 SV=1	4	10	10	10	36.8	36.8	36.8	28.993	261	261;160;95;53	8.638E-52	2.5507	1.6728	10.2	9	1360700000	387790000	972930000				1526	1445;2850;3125;3126;3654;5166;6116;6897;9683;11939	True;True;True;True;True;True;True;True;True;True	1450;2857;3132;3133;3661;5175;6126;6908;9700;11958	1716;3393;3394;3703;3704;4320;6209;7376;8336;11553;14293	3092;3093;3094;3095;3096;3097;6078;6079;6080;6081;6082;6651;6652;6653;6654;6655;7797;7798;11310;11311;11312;11313;11314;11315;11316;13402;13403;15086;20851;20852;26066;26067	3093;6081;6653;6655;7798;11313;13403;15086;20851;26067		
P30041	P30041	11	11	11	Peroxiredoxin-6	PRDX6	>sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	1	11	11	11	52.7	52.7	52.7	25.035	224	224	2.9822E-71	1.4152	0.99847	26.669	13	1200300000	458040000	742270000				1527	1447;1448;3248;6502;6952;7172;8075;8601;10957;11823;11824	True;True;True;True;True;True;True;True;True;True;True	1452;1453;3255;6512;6963;7184;8088;8615;10977;11842;11843	1718;1719;3845;3846;7813;7814;8397;8648;9698;10306;10307;13129;14149;14150	3099;3100;3101;6923;6924;6925;6926;6927;6928;14186;14187;14188;14189;15182;15183;15620;15621;17489;17490;18621;18622;18623;18624;18625;18626;23875;23876;25819;25820;25821	3100;3101;6923;14189;15183;15620;17490;18626;23876;25819;25821		
P30042;H7C2G3;H7C455;P30042-2;H7C1F6;F2Z2Q0;H7BYH1	P30042;H7C2G3;H7C455;P30042-2;H7C1F6;F2Z2Q0;H7BYH1	6;5;5;5;5;3;3	6;5;5;5;5;3;3	6;5;5;5;5;3;3	ES1 protein homolog, mitochondrial	C21orf33	>sp|P30042|ES1_HUMAN ES1 protein homolog, mitochondrial OS=Homo sapiens GN=C21orf33 PE=1 SV=3;>tr|H7C2G3|H7C2G3_HUMAN ES1 protein homolog, mitochondrial (Fragment) OS=Homo sapiens GN=C21orf33 PE=4 SV=1;>tr|H7C455|H7C455_HUMAN Uncharacterized protein (Fragm	7	6	6	6	34.7	34.7	34.7	28.17	268	268;191;205;237;257;217;224	1.3583E-53	1.5308	1.0545	11.002	7	243610000	101380000	142230000				1528	2988;3867;4392;4393;5504;8278	True;True;True;True;True;True	2995;3875;4401;4402;5514;8291	3548;4567;5243;5244;5245;6629;9937	6360;6361;8250;8251;8252;8253;9549;9550;9551;9552;9553;9554;9555;12102;12103;12104;12105;17907;17908	6360;8252;9551;9553;12102;17908		
P30043;M0QZL1;M0R192	P30043;M0QZL1;M0R192	5;3;3	5;3;3	5;3;3	Flavin reductase (NADPH)	BLVRB	>sp|P30043|BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3;>tr|M0QZL1|M0QZL1_HUMAN Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=4 SV=1;>tr|M0R192|M0R192_HUMAN Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=4 SV=1	3	5	5	5	42.7	42.7	42.7	22.119	206	206;154;163	3.1315E-22	1.9783	1.5237	7.1657	4	98370000	27903000	70467000				1529	6987;7017;8037;10763;12496	True;True;True;True;True	6998;7028;8050;10782;12516	8440;8471;9658;12878;12879;14988	15271;15272;15273;15325;17418;17419;17420;23380;23381;27361;27362	15271;15325;17419;23380;27362		
P30044-2;P30044;P30044-3;A6NC19	P30044-2;P30044;P30044-3;A6NC19	8;8;7;4	8;8;7;4	8;8;7;4	Peroxiredoxin-5, mitochondrial	PRDX5	>sp|P30044-2|PRDX5_HUMAN Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5;>sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4;>sp|P30044-3|PRDX5_HUMAN Isoform 3 of Peroxiredoxin	4	8	8	8	49.4	49.4	49.4	17.031	162	162;214;170;125	1.0756E-120	1.9639	1.2948	20.13	7	883050000	288510000	594530000				1530	2859;2860;3487;6599;10360;11166;11167;11537	True;True;True;True;True;True;True;True	2866;2867;3494;6609;10378;11186;11187;11557	3403;3404;3405;4124;7972;12385;13382;13383;13384;13817	6099;6100;6101;6102;6103;6104;6105;6106;7425;7426;7427;7428;14473;22419;22420;24395;24396;24397;24398;24399;25189;25190	6102;6106;7427;14473;22419;24396;24399;25189		
P30046;B7Z522;J3KQ18;A6NHG4;B5MC82;H7C342	P30046;B7Z522;J3KQ18;A6NHG4;B5MC82	3;2;2;2;2;1	3;2;2;2;2;1	3;2;2;2;2;1	D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein	DDT;DDTL	>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3;>tr|B7Z522|B7Z522_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=2 SV=1;>tr|J3KQ18|J3KQ18_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=4 SV=1;>sp|A6	6	3	3	3	30.5	30.5	30.5	12.712	118	118;107;132;134;166;50	5.8584E-23	1.2088	0.83419	18.714	4	166710000	75804000	90908000				1531	3186;8594;9522	True;True;True	3193;8608;9539	3776;10298;11364;11365	6788;6789;18611;18612;20532;20533;20534	6788;18612;20532		
P30049	P30049	2	2	2	ATP synthase subunit delta, mitochondrial	ATP5D	>sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2	1	2	2	2	13.7	13.7	13.7	17.49	168	168	3.9647E-08	1.7461	1.1566	5.3537	2	235480000	84107000	151370000				1532	876;4899	True;True	880;4908	1039;5872	1880;1881;1882;1883;10690;10691	1883;10691		
P30050;P30050-2	P30050	3;1	3;1	3;1	60S ribosomal protein L12	RPL12	>sp|P30050|RL12_HUMAN 60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1	2	3	3	3	24.2	24.2	24.2	17.818	165	165;132	2.5085E-20	1.8635	1.2514	8.3569	2	179050000	85258000	93795000				1533	4711;5039;8706	True;True;True	4720;5048;8720	5652;5653;6049;6050;10426	10278;10279;10280;10281;10282;10283;10284;10285;11021;11022;18843;18844;18845	10278;11022;18845		
